scheduled_e2_time,scheduled_e4a_time,result,e4a_t,e4a_X_P,e4a_X_R,e4a_v_P,e4a_v_R,e4a_phi_P,e4a_phi_R,e4a_F^intra,e4a_F^inter,e4a_L^intra,e4a_L^inter,e4a_tauドットPR,e4a_tauPR,e4a_tauRB,e6_t,e6_X_P,e6_X_R,e6_v_P,e6_v_R,e6_phi_P,e6_phi_R,e6_F^intra,e6_F^inter,e6_L^intra,e6_L^inter,e6_tauドットPR,e6_tauPR,e6_tauRB
7.4,8.267,offered,8.283333333333324,76.20655701745312,84.7125474479156,13.052198523034297,5.3349593749999995,3.271944622372109,4.543070226325591,4.639642262525735,0.6082480135008097,2.5221389320678615,0.9861203441329082,-0.7355203054358084,1.1013166681840876,4.7399522235507945,9.600000000000056,90.749621902157,91.0854610134607,9.296279505858953,5.22632116648622,3.1771878385865033,4.71238898038469,4.443870971898771,0,2.264423613480189,0.9238257370321644,0.04369962700563362,0.0825165968051306,3.6190923565564175
7.4,8.283,offered,8.283333333333324,76.20655701745312,84.7125474479156,13.052198523034297,5.3349593749999995,3.271944622372109,4.543070226325591,4.639642262525735,0.6082480135008097,2.5221389320678615,0.9861203441329082,-0.7355203054358084,1.1013166681840876,4.7399522235507945,9.600000000000056,90.749621902157,91.0854610134607,9.296279505858953,5.22632116648622,3.1771878385865033,4.71238898038469,4.443870971898771,0,2.264423613480189,0.9238257370321644,0.04369962700563362,0.0825165968051306,3.6190923565564175
7.4,8.3,offered,8.299999999999992,76.42409365950368,84.80146343749891,13.016429040322993,5.3349593749999995,3.546723514672281,4.747339198655878,4.635562810118274,0.5934964267892044,2.5252318479549234,0.9857505667765086,-0.6848886781997532,1.0899018568807584,4.723285556884131,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.317,offered,8.333333333333327,76.85728043203483,84.97929541666554,12.927713963059983,5.3349593749999995,4.093183741608415,5.1558771433164505,4.627456674475275,0.5561949888337648,2.5311860056991047,0.9852849838832609,-0.5948762253554607,1.0693553327703607,4.689952223550805,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.333,offered,8.333333333333327,76.85728043203483,84.97929541666554,12.927713963059983,5.3349593749999995,4.093183741608415,5.1558771433164505,4.627456674475275,0.5561949888337648,2.5311860056991047,0.9852849838832609,-0.5948762253554607,1.0693553327703607,4.689952223550805,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.35,offered,8.349999999999994,77.07274233141914,85.06821140624885,12.875756905943842,5.3349593749999995,4.364599108012085,5.360146115646737,4.623438823697706,0.5341600776586085,2.5340354147956563,0.9851730519180585,-0.5559659826011876,1.0600892330603409,4.673285556884142,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.367,offered,8.38333333333333,77.50099587303987,85.24604338541548,12.759140144602393,5.3349593749999995,4.903240165000608,5.76868406030731,4.615493911390657,0.4847115465913334,2.53945189323599,0.9851304563173267,-0.49090750276733264,1.0432191446747865,4.639952223550817,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.383,offered,8.38333333333333,77.50099587303987,85.24604338541548,12.759140144602393,5.3349593749999995,4.903240165000608,5.76868406030731,4.615493911390657,0.4847115465913334,2.53945189323599,0.9851304563173267,-0.49090750276733264,1.0432191446747865,4.639952223550817,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.4,offered,8.399999999999997,77.71364820878324,85.33495937499879,12.694942080607706,5.3349593749999995,5.170286298310521,5.972953032637596,4.611574302994173,0.45786424210405763,2.5420091836516723,0.9851304563173267,-0.4627486152093452,1.0355066677546307,4.623285556884154,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.417,offered,8.433333333333332,78.13568949780864,85.51279135416542,12.557566641985229,5.3349593749999995,5.699492981420018,0.09830567011858271,4.603858093885676,0.4012903164164414,2.546799677311865,0.9851304563173267,-0.412016181396484,1.0213904181219633,4.589952223550828,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.433,offered,8.433333333333332,78.13568949780864,85.51279135416542,12.557566641985229,5.3349593749999995,5.699492981420018,0.09830567011858271,4.603858093885676,0.4012903164164414,2.546799677311865,0.9851304563173267,-0.412016181396484,1.0213904181219633,4.589952223550828,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.45,offered,8.45,78.34498227517508,85.60170734374873,12.485646095266329,5.3349593749999995,5.961561939352214,0.30257464244886906,4.600067580088477,0.37207032559777775,2.549025083844932,0.9851304563173267,-0.39367824938026263,1.0148291139656256,4.573285556884166,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.467,offered,8.483333333333334,78.75994868995087,85.77953932291535,12.338160026018267,5.3349593749999995,0.197315340554729,0.7111125871094417,4.592634813982204,0.31289081663875573,2.5531192706615418,0.9851304563173267,-0.36966185702766996,1.0023403558976751,4.53995222355084,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.483,offered,8.483333333333334,78.75994868995087,85.77953932291535,12.338160026018267,5.3349593749999995,0.197315340554729,0.7111125871094417,4.592634813982204,0.31289081663875573,2.5531192706615418,0.9851304563173267,-0.36966185702766996,1.0023403558976751,4.53995222355084,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
7.4,8.5,offered,8.500000000000002,78.9655846903845,85.86845531249867,12.263572263367505,5.3349593749999995,0.45416806194064974,0.9153815594397281,4.588997009497306,0.28331816779699304,2.554982175435369,0.9851304563173267,-0.3633427379940657,0.996284643597774,4.5232855568841766,9.583333333333389,90.9921032466491,91.28964053578903,9.39469155707453,5.305482858944095,3.279332716793371,4.71238898038469,4.441955738599958,0,2.2630036789007373,0.9345941092820237,-0.07530440206643174,0.07276158081048084,3.5266082205258
