t,xP,xR,vP,vR,phiP,phiR,F^intra,F^inter,L^intra,L^inter,tauドットPR,tauPR,tauRB,e2,e4a,e4b,e5,e6,e7,e8
4.933333333333321,37.49566450047308,80,11.178157565473489,,3.849526932195806,0,4.511810693320835,0,2.477532486462993,1,,,,0,0,0,0,0,0,0
4.949999999999988,37.68196713,80,11.182576928855259,,4.085764787671216,0,4.511803235165931,0,2.478516093453707,1,,,,0,0,0,0,0,0,0
4.966666666666654,37.868343408711894,80,11.187025335868155,,4.322002252638549,0,4.511896093956215,0,2.4794510119267645,1,,,,0,0,0,0,0,0,0
4.983333333333321,38.05479383097634,80,11.191514367495067,,4.558244579680771,0,4.512089091304877,0,2.480339847247681,1,,,,0,0,0,0,0,0,0
4.999999999999988,38.24131907,80,11.196055609911504,,4.794497012040539,0,4.512382049555785,0,2.4811852114813027,1,,,,0,0,0,0,0,0,0
5.016666666666654,38.427919997266486,80,11.200660657857702,,5.030764783658454,0,4.512774792291077,0,2.481989723,1,,,,0,0,0,0,0,0,0
5.033333333333321,38.614597674897425,80,11.205341118191265,,5.267053119237902,0,4.513267144835149,0,2.482756007699285,1,,,,0,0,0,0,0,0,0
5.049999999999987,38.80135336020061,80,11.210108613620807,,5.503367234336274,0,4.513858934755296,0,2.4834866963401296,1,,,,0,0,0,0,0,0,0
5.066666666666654,38.988188503760966,80,11.21497478662129,,5.739712335482405,0,4.514549992359214,0,2.484184427152742,1,,,,0,0,0,0,0,0,0
5.083333333333321,39.17510475020464,80,11.219951303532197,,5.976093620320064,0,4.5153401511896245,0,2.4848518445672707,1,,,,0,0,0,0,0,0,0
5.099999999999987,39.36210393859682,80,11.225049858839954,,6.212516277777337,0,4.516229248516282,0,2.485491599552375,1,,,,0,0,0,0,0,0,0
5.116666666666654,39.54918810291082,80,11.23028218,,0.16580018108218564,0,4.517217125825627,0,2.4861063497349165,1,,,,0,0,0,0,0,0,0
5.133333333,39.736359472571564,80,11.235660030325466,,0.4023211167015821,0,4.518303629308388,0,2.486698759561959,1,,,,0,0,0,0,0,0,0
